date,protein,lag_1,lag_2,lag_3,lag_4,target
2023-02-05,1595.759,956.0,4166.756,153.38,932.3,1595.759
2023-02-12,2440.366,1595.759,956.0,4166.756,153.38,2440.366
2023-02-19,3932.16,2440.366,1595.759,956.0,4166.756,3932.16
2023-02-26,7589.75,3932.16,2440.366,1595.759,956.0,7589.75
2023-03-05,57.6,7589.75,3932.16,2440.366,1595.759,57.6
2023-03-12,1210.784,57.6,7589.75,3932.16,2440.366,1210.784
2023-03-19,991.08,1210.784,57.6,7589.75,3932.16,991.08
2023-03-26,758.35,991.08,1210.784,57.6,7589.75,758.35
2023-04-02,3246.945,758.35,991.08,1210.784,57.6,3246.945
2023-04-09,1454.7,3246.945,758.35,991.08,1210.784,1454.7
2023-04-16,16.8,1454.7,3246.945,758.35,991.08,16.8
2023-04-23,332.735,16.8,1454.7,3246.945,758.35,332.735
2023-04-30,1220.0,332.735,16.8,1454.7,3246.945,1220.0
2023-05-07,909.2,1220.0,332.735,16.8,1454.7,909.2
2023-05-14,8375.716,909.2,1220.0,332.735,16.8,8375.716
2023-05-21,2802.775,8375.716,909.2,1220.0,332.735,2802.775
2023-05-28,1275.3,2802.775,8375.716,909.2,1220.0,1275.3
2023-06-04,1317.52,1275.3,2802.775,8375.716,909.2,1317.52
2023-06-11,311.67,1317.52,1275.3,2802.775,8375.716,311.67
2023-06-18,1682.35,311.67,1317.52,1275.3,2802.775,1682.35
2023-06-25,1888.431,1682.35,311.67,1317.52,1275.3,1888.431
2023-07-02,199.171,1888.431,1682.35,311.67,1317.52,199.171
2023-07-09,1177.204,199.171,1888.431,1682.35,311.67,1177.204
2023-07-16,945.35,1177.204,199.171,1888.431,1682.35,945.35
2023-07-23,2565.11,945.35,1177.204,199.171,1888.431,2565.11
2023-07-30,1494.0,2565.11,945.35,1177.204,199.171,1494.0
2023-08-06,539.125,1494.0,2565.11,945.35,1177.204,539.125
2023-08-13,965.489,539.125,1494.0,2565.11,945.35,965.489
2023-08-20,4419.245,965.489,539.125,1494.0,2565.11,4419.245
2023-08-27,5162.263,4419.245,965.489,539.125,1494.0,5162.263
2023-09-03,638.5450000000001,5162.263,4419.245,965.489,539.125,638.5450000000001
2023-09-10,4051.631,638.5450000000001,5162.263,4419.245,965.489,4051.631
2023-09-17,3065.653,4051.631,638.5450000000001,5162.263,4419.245,3065.653
2023-09-24,3439.106,3065.653,4051.631,638.5450000000001,5162.263,3439.106
