date,actual,predicted_train,predicted_test
2/5/2023,10626.564,-667.1422729492188,
2/12/2023,36763.266,-571.3948364257812,
2/19/2023,39100.83,-1312.34228515625,
2/26/2023,134037.062,-363.5553894042969,
3/5/2023,1285.16,-1470.9930419921875,
3/12/2023,15973.14,-3228.024169921875,
3/19/2023,11784.44,-3519.79931640625,
3/26/2023,6524.13,-4007.4794921875,
4/2/2023,13383.03,-661.657470703125,
4/9/2023,15526.05,-1028.15869140625,
4/16/2023,195.75,-764.8094482421875,
4/23/2023,16570.435,-610.7911376953125,
4/30/2023,933.0,-537.7196655273438,
5/7/2023,2233.25,-461.2159729003906,
5/14/2023,91263.476,-236.46713256835938,
5/21/2023,18294.415,-563.0889282226562,
5/28/2023,17407.1,-2999.00927734375,
6/4/2023,12602.116,-2379.03662109375,
6/11/2023,3015.1,-2938.1162109375,
6/18/2023,36800.05,-766.0725708007812,
6/25/2023,63206.283,-1319.5203857421875,
7/2/2023,10176.51,-298.5445861816406,
7/9/2023,20889.025,50.31569290161133,
7/16/2023,11507.52,-2522.982666015625,
7/23/2023,29543.91,-2191.248291015625,
7/30/2023,14597.0,-903.106201171875,
8/6/2023,15596.85,,-1428.03173828125
8/13/2023,23377.706,,-1055.5179443359375
8/20/2023,81031.745,,-2110.206298828125
8/27/2023,73204.134,,-1454.7874755859375
9/3/2023,10876.59,,-1569.9656982421875
9/10/2023,33201.321,,-2319.291015625
9/17/2023,84018.715,,-3456.893798828125
9/24/2023,45667.894,,-2769.70458984375
