date,actual,predicted_train,predicted_test
2023-03-05,10626.564,10626.5654296875,
2023-03-12,36763.266,36763.265625,
2023-03-19,39100.83,39100.82421875,
2023-03-26,134037.062,134037.015625,
2023-04-05,1285.16,1285.1610107421875,
2023-04-12,15973.14,15973.140625,
2023-04-19,11784.44,11784.4375,
2023-04-26,6524.13,6524.130859375,
2023-05-02,13383.03,13383.0283203125,
2023-05-09,15526.05,15526.0537109375,
2023-05-16,195.75,195.74952697753906,
2023-05-23,16570.435,16570.431640625,
2023-05-30,933.0,933.0003662109375,
2023-06-07,2233.25,2233.249267578125,
2023-06-14,91263.476,91263.46875,
2023-06-21,18294.415,18294.412109375,
2023-06-28,17407.100000000002,17407.099609375,
2023-07-04,12602.116,12602.119140625,
2023-07-11,3015.1,3015.098876953125,
2023-07-18,36800.05,36800.0625,
2023-07-25,63206.283,63206.27734375,
2023-08-02,10176.51,10176.5078125,
2023-08-09,20889.025,20889.025390625,
2023-08-16,11507.52,11507.5205078125,
2023-08-23,29543.91,29543.912109375,
2023-08-30,14597.0,14597.0,
2023-09-06,15596.85,,15543.833984375
2023-09-13,23377.706,,20573.080078125
2023-09-20,81031.745,,63206.265625
2023-09-27,73204.134,,63206.2734375
2023-10-03,10876.59,,10806.2919921875
2023-10-10,33201.321,,29547.853515625
2023-10-17,84018.715,,63206.26171875
2023-10-24,45667.894,,39089.1015625
