Date,Carbohydrates,Fiber,Protein,Fat,Item Description,Item Code,Quantity,Unit Price,Carbohydrates (g),Fiber (g),Protein (g),Fat (g),Total Price
11/7/2023,789.03,0,71.28,7.92,3D BURSTING BALL DINOSAURS EGG 30PCS,PKS6384,3, RM9.00 ,263.01,0,23.76,2.64,27.00
11/7/2023,1052.04,0,95.04,31.68,3D BURSTING BALL EARTH 30PCS,PKS1180,4, RM9.00 ,263.01,0,23.76,7.92,36.00
25/8/2023,5260.2,0,475.2,52.8,3D BURSTING BALL EYEBALL 30PCS,PKS1013,20, RM9.00 ,263.01,0,23.76,2.64,180.00
17/2/2023,526.02,0,47.52,5.28,3D BURSTING BALL EYEBALL 30PCS,PKS1013,2, RM9.00 ,263.01,0,23.76,2.64,18.00
11/7/2023,789.03,0,71.28,7.92,3D BURSTING BALL EYEBALL 30PCS,PKS1013,3, RM9.00 ,263.01,0,23.76,2.64,27.00
11/7/2023,3682.14,0,332.64,36.96,3D BURSTING BALL FACABOOK/UNICORN 30PCS,PKS1526,14, RM9.00 ,263.01,0,23.76,2.64,126.00
22/3/2023,526.02,0,47.52,5.28,3D BURSTING BALL FRIED EGGS 30PCS,PKS0847,2, RM9.00 ,263.01,0,23.76,2.64,18.00
17/4/2023,263.01,0,23.76,2.64,3D BURSTING BALL FRIED EGGS 30PCS,PKS0847,1, RM9.00 ,263.01,0,23.76,2.64,9.00
11/7/2023,526.02,0,47.52,5.28,3D BURSTING BALL FRIED EGGS 30PCS,PKS0847,2, RM9.00 ,263.01,0,23.76,2.64,18.00
11/8/2023,263.01,0,23.76,2.64,3D BURSTING BALL MIX (RED) 30PCS,PKS6382,1, RM9.00 ,263.01,0,23.76,2.64,9.00
17/2/2023,526.02,0,47.52,5.28,3D BURSTING BALL SWEET DUCK 30PCS,PKS1099,2, RM9.00 ,263.01,0,23.76,2.64,18.00
11/7/2023,526.02,0,47.52,5.28,3D BURSTING BALL WATERMELON 30PCS,PKS0756,2, RM9.00 ,263.01,0,23.76,2.64,18.00
13/6/2023,2188.8,0,241.2,72,5PCS EYE GUMMY STICK 20PCS,PKS6372,12, RM20.00 ,182.4,0,20.1,6,240.00
3/7/2023,168,6,25.8,96,7DAYS BUTTER CROISSANT 60GM,PKS4557,6, RM1.39 ,28,1,4.3,16,8.34
3/7/2023,224,8,34.4,128,7DAYS STRAWBERRY CROISSANT 60GM,PKS4849,8, RM1.39 ,28,1,4.3,16,11.12
8/5/2023,280,10,43,160,7DAYS VANILLA CROISSANT 60GM,PKS2212,10, RM1.39 ,28,1,4.3,16,13.90
3/7/2023,392,14,60.2,224,7DAYS VANILLA CROISSANT 60GM,PKS2212,14, RM1.39 ,28,1,4.3,16,19.46
10/2/2023,3552,0,8,0,ABC TEPUNG UBI KAYU 500G,PKS0702,8, RM1.50 ,444,0,1,0,12.00
8/9/2023,66.528,19.872,21.888,19.296,ADABI KARI AYAM & DAGING 24G,PKS3923,6, RM1.08 ,11.09,3.31,3.65,3.22,6.48
17/7/2023,693,207,228,201,ADABI KARI AYAM & DAGING 250G,PKS1694,1, RM5.30 ,693,207,228,201,5.30
10/2/2023,115.5,34.5,38,33.5,ADABI KARI AYAM & DAGING 250G,PKS1694,6, RM4.90 ,19.25,5.75,6.33,5.58,29.40
6/2/2023,113.76,0,25.2,14.64,ADABI KARI IKAN 24G,PKS3922,10, RM1.06 ,11.38,0,2.52,1.46,10.60
17/7/2023,1303.5,0,288.75,167.75,ADABI KARI IKAN 250G,PKS1593,1, RM5.30 ,1303.5,0,288.75,167.75,5.30
10/2/2023,118.5,0,26.25,15.25,ADABI KARI IKAN 250G,PKS1593,11, RM4.90 ,10.77,0,2.39,1.39,53.90
10/3/2023,500,0,133,183,ADABI KURMA AYAM & DAGING 250G,PKS1592,4, RM6.00 ,125,0,33.25,45.75,24.00
12/8/2023,32.096,0,5.134,0.544,ADABI NASI GORENG IKAN BILIS 17G,PKS2638,2, RM0.98 ,16.05,0,2.57,0.27,1.96
8/9/2023,5.168,0,1.768,0.952,ADABI NASI GORENG TOM YAM 17G,PKS2466,8, RM0.83 ,0.65,0,0.22,0.12,6.64
6/2/2023,0.646,0,0.221,0.119,ADABI NASI GORENG TOM YAM 17G,PKS2466,1, RM1.00 ,0.65,0,0.22,0.12,1.00
15/5/2023,43.26,0,4.83,30.87,ADABI PERENCAH ASAM PEDAS 70G,PKS2479,3, RM1.50 ,14.42,0,1.61,10.29,4.50
6/2/2023,432.6,0,48.3,308.7,ADABI PERENCAH IKAN BAKAR 350G,PKS5654,6, RM6.50 ,72.1,0,8.05,51.45,39.00
24/2/2023,389.34,0,43.47,277.83,ADABI PERENCAH IKAN BAKAR 70G,PKS4981,27, RM1.50 ,14.42,0,1.61,10.29,40.50
15/5/2023,84.72,20.4,9.36,31.44,ADABI PERENCAH MEE GORENG 60G,PKS4982,4,RM1.95,21.18,5.1,2.34,7.86,7.80
6/2/2023,72,39.6,28.8,82.8,ADABI PERENCAH ODEN TOM YAM 120G,PKS1077,6,RM5.39,12,6.6,4.8,13.8,32.34
8/9/2023,5.16,2.2,1.92,3.2,ADABI PERENCAH SUP SIAM 40G,PKS5562,1,RM1.70,5.16,2.2,1.92,3.2,1.70
6/2/2023,38.64,7.56,8.96,22.68,ADABI PERENCAH TOM YAM PUTIH 40G,PKS5684,7,RM1.30,5.52,1.08,1.28,3.24,9.10
6/2/2023,138.4,0,16.8,58.4,ADABI PERENCAH TOM YAM SEAFOOD 200G,PKS5650,4,RM5.00,34.6,0,4.2,14.6,20.00
