Date,Carbohydrates,Fiber,Protein,Fat,Item Description,Unit Price
3/1/2023,214.2,0,0,0,BLOW BUBBLE GUM 50PCS, RM14.50 
3/1/2023,1520,0,80,560,CHOCO BALL EARTH / GOLD / MIX COLOUR 100PCS, RM7.00 
3/1/2023,760,0,40,280,CHOCO BALL EARTH / GOLD / MIX COLOUR 100PCS, RM7.00 
3/1/2023,108.1,0,0,0,DRAWING RULER+LOLLIPOP 30PCS, RM8.20 
3/1/2023,669.6,0,446.4,460.35,DUTCH LADY FRESH MILK 450ML, RM3.82 
5/1/2023,163.2,0,0,7.2,RICO ASSORTED PUDDING 24PCS, RM3.32 
5/1/2023,326.4,0,0,14.4,RICO ASSORTED PUDDING 24PCS, RM3.32 
5/1/2023,336,0,0,24,RICO AUTO-MAN PUDDING 24PCS, RM3.32 
5/1/2023,336,0,0,24,RICO AUTO-MAN PUDDING 24PCS, RM3.32 
5/1/2023,1350,0,6,54,RICO GRAPE PUDDING 24PCS, RM3.32 
5/1/2023,4800,0,0,0,RICO JELLY CUP 100PCS, RM4.85 
5/1/2023,800,0,0,0,RICO JELLY CUP 100PCS, RM4.85 
5/1/2023,60,0,0,0,RICO LONG JELLY 10PCS, RM1.98 
5/1/2023,150,0,0,25,RICO MIX FRUIT JELLY 250G, RM0.83 
5/1/2023,800,0,0,0,RICO PUDDING CUP 100PCS, RM5.47 
5/1/2023,168,0,0,12,RICO PUDDING POPPEN 24PCS, RM4.00 
5/1/2023,870.4,0,0,38.4,RICO STRAW PUDDING 24PCS, RM3.32 
5/1/2023,648,0,0,0,RICO UMBRELLA PUDDING 24PCS, RM4.00 
7/1/2023,996.4,0,333.9,201.4,DUTCH LADY BANANA 200ML, RM1.44 
7/1/2023,57,0,26,12,DUTCH LADY LOW FAT 1LIT, RM6.05 
9/1/2023,40.125,29.775,12.225,13.275,BABA'S SERBUK KARI IKAN MASIN 25G, RM0.90 
9/1/2023,41.475,43.925,25.725,32.2,BABA'S SERBUK RENDANG 25G, RM0.90 
9/1/2023,27.5,0,0,0,REX APPLE DRINK 250ML, RM0.63 
9/1/2023,28.3,0,0.8,0,REX ORANGE DRINK 250ML, RM0.63 
10/1/2023,100,0,0,0,MIXX KONJAC JELLY 40PCS, RM12.00 
