Month,Item Description,Quantity,Total Price
January,ALIBABA COLORFUL COIN CHOC 300PCS,1,14.8
January,ALIBABA FRUIT JELLY 100PCS,1,5.04
January,ALIBABA FRUIT PUDDING 100PCS,4,20.16
January,ALIBABA VIVI JELLY NATA G+S 24PCS,1,7.1
January,APOLLO CHOCO STICK WAFER 1044A 30PCS,24,139.2
January,BABA'S SERBUK KARI IKAN MASIN 25G,3,2.7
January,BABA'S SERBUK RENDANG 25G,7,6.3
January,BESBITE MILK ICE TUBE 450ML,2,4.2
January,BESBITE MIXED FRUIT PUDDING 6X120G,8,30.4
January,BLOW BUBBLE GUM 50PCS,3,43.5
January,CHOCO BALL EARTH / GOLD / MIX COLOUR 100PCS,3,21.0
January,CINTAN PERISA KARI 5PCS,8,29.2
January,DAQIAN MARSHMALLOW 500G,9,63.9
January,DOLPHIN FRUITS JELLY STICK 360G,5,11.5
January,DOLPHIN FRUITS PUDDING W/NATA DE COCO 40GX8PCS,1,2.5
January,DOLPHIN KONJAC JELLY GRAPE 15PCS,8,35.2
January,DOLPHIN MANGO JELLY W/NATA DE COCO 32GX8PCS,2,5.0
January,DOLPHIN MIX FRUIT NATA JELLY 100PCS,1,7.9
January,DOLPHIN MIXED FRUIT JELLY W/NATA DE COCO 256G,6,9.0
January,DOLPHIN NATA DE COCO KIWI 1.5KG,1,6.1
January,DOLPHIN NATA DE COCO W/LYCHEE DRINK 800G,2,7.4
January,DOLPHIN NATA DE COCO W/MANGO DRINK 430G,4,9.6
January,DOLPHIN NATA DE COCO W/MANGO DRINK 800G,1,3.7
January,DOLPHIN NATA DE COCO W/STRAW DRINK 800G,2,7.4
January,DOLPHIN YOGO SNAPZ FRUITS PUDDING STICK 45MLX8PCS,3,7.5
January,DRAWING RULER+LOLLIPOP 30PCS,1,8.2
January,DUTCH LADY BANANA 200ML,1,1.44
January,DUTCH LADY FRESH MILK 450ML,31,118.42
January,DUTCH LADY LOW FAT 1LIT,1,6.05
January,DUTCH LADY LOW FAT 450ML,24,89.52
January,HOGOMAS / BESBITE KUACI 110G,25,46.25
January,JATI BERAS JELAPANG 10KG,1,27.72
January,KIMBALL SOS KEJU 1KG,4,38.2
January,KITKAT CHUNKY RAISIN & COOKIES 38G,4,10.08
January,MEGA FOOD AUSTRALIAN CHEDDAR 12SLICES,25,209.75
January,MEGA FOOD BUTTER SALTED 250G,7,58.8
January,MEGA FOOD BUTTER UNSALTED 250G,9,75.6
January,MENTOS MINI RAINBOW 100PCS,1,20.5
January,MI SEDAAP KOREAN SPICY CHICKEN 5PCS,1,4.64
January,MIXX KONJAC JELLY 40PCS,1,12.0
January,NABATI RICHOCO 7GX20PCS,1,3.4
January,REX APPLE DRINK 250ML,1,0.63
January,REX ORANGE DRINK 250ML,1,0.63
January,RICO ASSORTED PUDDING 24PCS,3,9.96
January,RICO AUTO-MAN PUDDING 24PCS,4,13.28
January,RICO GRAPE PUDDING 24PCS,2,6.64
January,RICO JELLY CUP 100PCS,7,33.95
January,RICO LONG JELLY 10PCS,2,3.96
