Qty,Item Description,Carbohydrates(g),Fiber(g),Protein(g),Fat(g),Unit Price
1,3D BURSTING BALL DINOSAURS EGG 30PCS,789.03,0.0,71.28,7.92, RM9.00 
2,3D BURSTING BALL EARTH 30PCS,1052.04,0.0,285.12,31.68, RM9.00 
3,3D BURSTING BALL EYEBALL 30PCS,5260.2,0.0,475.2,52.8, RM9.00 
4,3D BURSTING BALL FACABOOK/UNICORN 30PCS,3682.14,0.0,332.64,36.96, RM9.00 
5,3D BURSTING BALL FRIED EGGS 30PCS,526.02,0.0,47.52,5.28, RM9.00 
6,3D BURSTING BALL MIX (RED) 30PCS,263.01,0.0,23.76,2.64, RM8.50 
7,3D BURSTING BALL SWEET DUCK 30PCS,526.02,0.0,47.52,5.28, RM9.00 
8,3D BURSTING BALL WATERMELON 30PCS,526.02,0.0,47.52,5.28, RM9.00 
9,5PCS EYE GUMMY STICK 20PCS,2188.8,0.0,241.2,72.0, RM20.00 
10,7DAYS BUTTER CROISSANT 60GM,168.0,6.0,25.8,96.0, RM1.39 
11,7DAYS STRAWBERRY CROISSANT 60GM,224.0,8.0,34.4,128.0, RM1.39 
12,7DAYS VANILLA CROISSANT 60GM,392.0,14.0,60.2,224.0, RM1.39 
13,ABC TEPUNG UBI KAYU 500G,3552.0,0.0,8.0,0.0, RM1.50 
14,ADABI KARI AYAM & DAGING 24G,66.528,19.872,21.888,19.296, RM1.08 
15,ADABI KARI AYAM & DAGING 250G,693.0,207.0,228.0,201.0, RM5.30 
16,ADABI KARI IKAN 24G,113.76,0.0,25.2,14.64, RM1.06 
17,ADABI KARI IKAN 250G,1303.5,0.0,288.75,167.75, RM5.30 
18,ADABI KURMA AYAM & DAGING 250G,500.0,0.0,133.0,183.0, RM6.00 
19,ADABI NASI GORENG IKAN BILIS 17G,32.096,0.0,5.134,0.544, RM0.98 
20,ADABI NASI GORENG TOM YAM 17G,5.168,0.0,1.768,0.952, RM1.00 
21,ADABI PERENCAH ASAM PEDAS 70G,43.26,0.0,4.83,30.87, RM1.50 
22,ADABI PERENCAH IKAN BAKAR 350G,432.6,0.0,48.3,308.7, RM6.50 
23,ADABI PERENCAH IKAN BAKAR 70G,389.34,0.0,43.47,277.83, RM1.50 
24,ADABI PERENCAH MEE GORENG 60G,84.72,20.4,9.36,31.44,RM1.95
25,ADABI PERENCAH ODEN TOM YAM 120G,72.0,39.6,28.8,82.8,RM5.39
